"","FACILITY_NAME","LOCATION_ADDRESS","FACILITY_CITY","STATE_CODE","PERMIT_DESIGN_FLOW","PERMIT_AVG_FLOW","SF","SN_C","geometry"
"162","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.059448, 38.90139)
"163","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.062225, 38.900833)
"164","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.063057, 38.901669)
"165","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.065834, 38.90361)
"166","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.071663, 38.90361)
"167","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.076385, 38.904724)
"168","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.056111, 38.906389)
"169","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.054726, 38.906113)
"170","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.055275, 38.907223)
"171","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.051392, 38.91)
"172","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.050278, 38.909168)
"173","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.051109, 38.910557)
"174","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.051111, 38.917222)
"175","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.051392, 38.919167)
"176","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.048889, 38.921665)
"177","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.04528, 38.927776)
"178","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.04528, 38.927776)
"179","D.C. WASA (BLUE PLAINS)","5000 OVERLOOK AVE, SW","WASHINGTON","DC",370,NA,NA,NA,c(-77.04528, 38.928612)
